Question,Answer
What technology does Core dna use?,"Core dna is designed on open, component-based architecture to be a flexible environment that can be easily managed. The architecture supports a range of operations and has been tested on both Unix and Windows based platforms. This helps to reduce problems that can arise from different operating systems and allows flexibility during deployment. The presentation layer supports an interaction with the business logic through the services layer. It allows the flexibility for each of our clients to control the look and feel of their website as well as the functional modules they wish to deliver.The technology is built on the scaleable technology stack. Linux base operating system, Apache HTTPd web server, MariaDB database layer and PHP development language. The front end stack is agnostic and we have developed solutions using a variety of front end frameworks including Bootstrap, Foundation, UI kit, AngularJS, React."
Does Core dna require software to be installed on my computer? ,"No, Core dna technology is a web-based, cloud-hosted SaaS application. As long as you have an internet connection, you are able to login to your website from anywhere in the world. This approach allows us to constantly update our technology and have it instantaneously passed on to you.Software as a Service (SaaS) is a way of delivering applications over the Internet through a subscription fee model instead of through traditional on-premises, licensed software models of the past. Instead of installing and maintaining software platforms, software-as-a-service is accessed via the Internet, eliminating complex computing infrastructure provisioning and maintenance tasks. SaaS applications are sometimes called web-based software, on-demand software, or hosted software. Whatever the name, SaaS applications run on a SaaS provider’s servers. The provider manages access to the application, including security, availability, and performance.GET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialistHere’s what you can expect:Walkthrough: An introduction of the Core dna platformAnalysis: Personalized recommendations based on your  business needs.Case studies: How other businesses have used Core dna to scale more efficiently Request a Demo "
Can Core dna be used for websites?,"Yes, Core dna creates a staged approach to building an effective website. Our technology allows you to create a website that serves your current needs while providing the flexibility to quickly and easily add products as your business grows. Core dna is what creates an aesthetically appealing website that is also backed by strategy. While to the average user, the full capabilities of the DXP are not visible, its robust backend infrastructure provides your business with an unparalleled advantage. We offer the backend user the ability to effectively manage content, layout, and statistics, whilst increasing ROI, attending to customer requests and ensuring the online strategy is fluid and traceable."
What is cloud infrastructure?,"Cloud based infrastructure refers to how it is it delivered. In this case, Core dna is delivered as a service (SaaS) as opposed to an actual product. What cloud infrastructure allows is shared resources, software, and information to be provided as a utility over the internet."
Can Core dna be used for microsites?,"Core dna is built for flexibility, which allows the engine to be modified and scaled to suit the size and requirements of any site. This makes it ideal for rolling out a range of microsites for your business."
What analytical applications are available?,"Our comprehensive analytical usage statistics application allows you to capture information about customers and prospects, providing detailed information regarding how they find, interact with and eventually leave your site, helping you determine whether or not your goals and objectives are being reached."
Will my marketing team be able to use Core dna?,"Absolutely! Core dna was built by an agency, for agencies. We know that marketers need low-code environments to operate in, so we baked in features like marketing automation, email marketing, content previews, and personalization.See Core dna’s marketing features."
What differentiates Core dna from other CMS options?,"When selecting a CMS, customers have the following problems:Generic Content Platforms. Too many generic CMS make it difficult for marketers to create content, manage images, preview their work and collaborate. They also lack proper security and audit features, so it is hard to control and track what people are doing.Frustrating for developers. Many are inflexible systems that require heavy customization and 3rd party apps to get your website connected with other systems without custom interfaces making it hard to share information and create workflows.Poor Performance. Visitors are often left waiting for the website to load. Errors appear without reason. You're learning about security issues through the news. You just don't trust the software.Limited Support. It’s 3 am, your site is down, but most alternatives only offer 24 hour email support--no chat, and live voice (if available) won’t wake for 3-4 hours. Can you spell F.I.R.E.D?Incomplete Products. They sell you a car with 3 wheels--their system won’t get your job done… without countless 3rd party apps, or dreaded plugins (each with various levels of non-support, no single point of accountability. or risk of serious security holes). All because the vendor didn’t “complete” their product.Too Pricey. When you combine costs for upgrades and add-ons, custom development to get what you want, it costs MUCH more than they let on. These are the 5 reasons to consider Core dnaBEST in Content Management. Includes integrated features like page builder, built-in blogging, dynamic forms, collaboration, multilingual content capabilities, international domains, plus several modern features that make creating and publishing content easy.Most flexible Developer Ecosystem. Includes industry standard tools like version control, flexible IDE, GIT Collaborate, multiple environments for development and QA, flexible front end frameworks, or use server side frameworks to deliver unparalleled speed and performance.World-Class Performance. With leading security practices like web application firewalls and load balancing, Core dna provides the reliability and security your team needs to operate in the digital world today.Industries BEST Support & Professional Services. Core dna excels with their top of the line support and services. Of course there are guides to help you get started and documentation for onboarding, however the outstanding features to love are:BEST of all… NO Plugins or 3rd party app Hell. Eliminating system and plug-in incompatibilities, conflicts, unexpected errors, degraded performance, poor support and ongoing security impacts to your website typical with 3rd party apps and plugins, Core dna delivers a clean native system without requiring any custom development. It is a COMPLETE product."
What are the benefits of cloud based infrastructure?,"The cloud-based infrastructure means that the capacity of the Core dna service can be ramped up and down as required, with ease. The main benefit of this lies in the costs. You are not required to pay a standard hosting charge, which is especially important if your website is busy seasonally.There are many other technical benefits such as:RedundancyHigh availabilityNo single point of failure (SPOF): meaning that if a part of the system experiences trouble, it does not affect the system as a whole from working."
Who are some of Core dna clients?,"Our current clients range from very large (Randy's World Wide, Frontier Touring, SEEK, etc.) to mid-size (Uberall, Clark Rubber, Standard Process), to smaller businesses. Since we combine both eCommerce and content/digital experience management, we also have clients in government and non-profit sectors. For more information, please visit our customers page."
Can Core dna customize each visitor's experience?,Core dna can customize each visitor’s experience through the Personalization application and the Secure Member applications. These applications allow you to tailor the page design and content down to the individual.
Is Core dna PCI Compliant?,"Core dna makes PCI compliance easy by offering integrated payment gateways that allow merchants to securely transmit credit card data via direct post API methods or with hosted payment forms provided by the payment gateway and integrated with the merchant’s checkout pages.The Direct Post method allows for information to be sent directly to the payment gateway without sensitive data flowing through or stored on the Core dna application server. We currently have over 20 integrated payment gateways. If we do not have the one you are currently using, we are happy to integrate with it for you. "
Do I have to pay for upgrades?,"All upgrades to the hardware, network, and software including all standard applications are included as part of a Core dna subscription."
How can Core dna integrate with my ERP system?,"With ERP systems, there are a number of different data points that you might be interested in passing back and forth. Here are some of the most common:Order dataShipmentsCustomersInventoryProduct dataCustomer groupsInvoice dataTransactionsIf there is an API available for your ERP system, Core dna can integrate directly with your ERP using the API to call/push the data that you are looking for. We currently have API level integrations with some of the more popular systems including Microsoft Dynamics and SAP. Often times, however, you may be using a legacy system that does not have an API. We can use secure FTP or CSV files to then connect and pass data to and from Core dna."
Can I speak to a consultant?,"Our consultants are always available to you to discuss your website needs and any questions you may have regarding Core dna. You can reach us on +1(617)274-6660, or alternatively, fill in an inquiry form and you will be contacted within the next 48 hours."
Can I have a free demo of how Core dna works?,"For a free demonstration of how Core dna works contact one of our friendly consultants on 1300 780 566 in Australia or +1 (617) 274-6660, or alternatively, you can contact our team."
What training will I receive with Core dna? ,"Full training is provided to each of our users. Our objective is to build a strategic relationship with all our users, as your success is our success.At Core dna we understand the running of the technical aspects of a content management system can be difficult. It is for this reason that we have developers, programmers, and network administrators on hand, as part of the service, to work on any issues you may encounter with your site."
Does Core dna limit the number of users who can access the platform?,"No, you can add as many users as you want, without additional cost. "
How does Core dna allow me to capture information about customer behavior?,"Our analytics module allows you to capture information about customers and prospects, providing detailed information regarding how they find, interact with and eventually leave your site, helping you determine whether or not your goals and objectives are being reached."
How does Core dna handle GDPR?,"Core dna is fully GDPR compliant. You can find our commitment here - https://www.coredna.com/gdprGDPR is short for the General Data Protection Regulation that went into effect on May 25, 2018. Its purpose is to support privacy as a fundamental human right and therefore give EU residents rights over how their personal data is processed or otherwise used.In preparation for GDPR, we formed a core team of leaders from each area of Coredna.com's business, coordinated by our internal Data Protection Officer (DPO). The representatives in this group were charged with ensuring that all the requirements of GDPR were addressed across all teams. The team met once a week to discuss progress towards GDPR readiness, and has continued to do so following the May 25th 2018 deadline so we can continue to ensure our complete GDPR compliance today and in the future.We have written extensive content on this topic, which you can find on our site: General data protection regulation, GDPR fines, and GDPR preparation. A word of caution though: GDPR encompasses more than just system/platform compliance. There are a host of policies, procedures, and processes that must be established. The right platform can help with that - and Core dna does - but true compliance requires active participation by your team.GET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialist. Here’s what you can expect: Walkthrough: An introduction of the Core dna platform Analysis: Personalized recommendations based on your business needs. Case studies: How other businesses have used Core dna to scale more efficiently"
How does Core dna handle major traffic spikes in volume?,"A true SaaS platform from the onset, Core dna was built for the cloud.As such, we feature unrivaled security, scalability, resilience and failover. We have clients that see huge spikes in traffic and no degradation in performance. Frontier Touring - Australasia’s preeminent concert promoter - is a good example. When big acts like Paul McCartney, Guns n Roses, or Ed Sheeran announce pre-sale weekend, their site can see several million unique visitors - each making many, many calls to the server as they seek tickets - and we are happy to show you performance logs that show no significant performance degradation. "
Is the Core dna platform hosted or on-premise?,"Core dna is a hosted platform, a true multi-tenant, single instance SaaS solution."
What if you don’t have a partner in my country?,"You can nominate an agency to work with us. Alternatively, we can find an agency that we think would be a great fit for your business and Core dna."
Can I use my own agency?,"Yes, you can. However, your agency will need to go through the same application and training process every Core dna-certified partner go through."
What payment systems does Core dna integrate with?,"We integrate with 20+ payment gateways, including PayPal and Amazon Pay and our open API allows us to easily integrate with just about any partner you chose. The same is true for shipping and 3PL partners."
Does Core dna support multi-tenant and multi-site?,"Yes, we do. Our ability to support multiple brands and site instances (by geography, market, etc.) on one platform and access all data in a unified dashboard is one of the features that makes us attractive to multi-brand manufacturers and retailers. For more information about our multi-site feature, click here."
How do you qualify your partners?,Our partners go through training with a dedicated account manager to help them become a certified Core dna partner.
Is the Core dna platform responsive?,"Yes, Core dna is can be used as headless or as a decoupled platform and by essence is fully responsive.A responsive platform like Core dna is a great tool for developers who want to create responsive websites. It is easy to use and provides a wide range of options for how your website can respond to different screen sizes. You can also customize the look and feel of your site with this platform, making it truly your own. If you're looking for a responsive platform that will make your life easier, this is the one you need.For more information, a decoupled platform is a web application platform that uses a decoupled architecture to provide a responsive user interface. A decoupled architecture separates the presentation layer from the business logic and data access layers, allowing each layer to be developed independently. This separation of concerns makes it possible to develop the presentation layer using a variety of technologies including responsive web design.The advantage of using a decoupled responsive platform is that it allows for a more agile development process. The presentation layer can be developed and deployed independently of the business logic and data access layers, meaning that changes to the user interface can be made without affecting the rest of the application. This can be particularly useful when developing applications that need to be compatible with a variety of devices and screen sizes.When it comes to the headless platform, it allows businesses to manage their e-commerce site without the need for a traditional web design interface. This type of platform uses an API to connect the back-end e-commerce system to the front-end content management system, making it possible to manage e-commerce site content from a single interface.It gives you the flexibility over the front-end as well as the ability to integrate with all devices, support emerging trends like voice search, and more. Do you want to learn more about Headless Commerce? 👉 Download our Headless Commerce Guide GET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialistHere’s what you can expect:Walkthrough: An introduction of the Core dna platformAnalysis: Personalized recommendations based on your  business needs.Case studies: How other businesses have used Core dna to scale more efficiently Request a Demo "
Are there any partner contracts?,"We tailor our relationship with each of our partners. We work closely to meet the needs of our partners and work collaboratively to deliver on their goals.  Yes, we have a contract for our partners that describes the relationship and the commitments we both make to the partnership."
Does Core dna support digital downloads?,"Yes, we sure do."
How does Core dna handle pre-order or backorder?,"We support both and have several ways these can be dealt with. We also support what we call split orders, where we can offer clients the option of shipping a partial order while the remaining items are on backorder."
Does Core dna provide services to help deliver my project?,"Yes, we do. We offer product development, server management, security & performance, implementation & migration, sales & account management, and training & technical support services."
Is the Core dna platform inclusive of search?,"Our engine supports a number of search tools, including customizable Elasticsearch (for facets, site search). If you have a specific engine in mind, we can also evaluate integrating it."
Does Core dna have a partner program?,"The Core dna Partner Program aims to provide an opportunity for partners to expand their website services and easily manage their clients' requirements through our scalable and flexible enterprise level website management platform, designed for even the most demanding websites, intranets, extranets, and microsites.We strive to develop and foster mutually beneficial relationships; ensuring collaborations reflect the integrity of both Core dna and Partner brands.The challenge we set ourselves is to help grow our users’ businesses by optimizing the opportunities available to them in the online environment.Core dna provides partners with sales leads, technical web advice, and online strategy. Wherever possible, we look for opportunities to facilitate partners to expand their business networks.We have partnerships with image and branding specialists, graphic design companies, marketing experts, online media consultants, IT specialists, copywriters with SEO and SEM expertise and work efficiency consultants. These partnerships are business resources we can draw on to augment the specialized skills of our team."
What are the benefits of partnering with Core dna?,"ExperienceThe Core dna platform is the product of a decade of experience in web solutions. Capitalize on our expertise across a variety of industries and leverage our reputation for excellence in web solutions by offering your clients the benefits of a trusted brand. Core dna Partners instill confidence in the solutions they provide through our reliable platform that evolves with the online environment and adapts to their changing needs.CapabilityMinimize risk and eliminate redundancy issues by ensuring your clients' brands are well supported, well understood and well communicated through a robust software platform that will evolve with you and provide you with comprehensive support. Our team of designers and developers are highly qualified and passionate about what they do.TechnologyExpand your range of business solutions and enhance your service offering by becoming a member of a program that combines complementary technologies, maximizing benefits and optimizing the use of resources. Share the value of technologies developed by Partners and save time, money and opportunity costs, safe in the knowledge that our experienced software developers are continuously innovating, providing you with a competitive advantage and allowing you to focus on what you do best. Core dna is flexible and can be adapted and implemented to fit."
Is Core dna right for my business?,"Whether you are interested in using Core dna for your own website or you want to maximise value by using a trusted brand for your clients’ website, no matter what industry you are in or the scale of your business, Core dna is the foundation that can deliver an integrated website solution."
Does Core dna have an order management system?,"Yes, Core dna includes an order management system. However, we can also integrate with your order management system."
How can I scale my eCommerce globally?,"Exchanging goods or services for money across country lines comes with a host of regulatory measures and technical considerations, regardless of whether you’re doing business face-to-face or online. There are also important environmental and cultural differences that will influence the way that you present your offerings to local consumers.Core dna is setup to enable your team to think globally and act locally, meaning we have international domains and international payments with different personalization features to help you scale. We created a blog post where we share eight considerations that you should keep in mind as you develop your plan for going from domestic provider to international distributor. Read more about scaling your eCommerce globally."
How do I get credit for referring or reselling Core dna?,"As a partner, you can let us know about opportunities you are talking to about Core dna. Simply fill out this form so we can flag these leads."
How do I create the best eCommerce site?,"According to Ecommerce Guide, nearly all retail growth in the US at present is driven by eCommerce — a trend which looks set to continue into the foreseeable future.Dominant eCommerce brands like Amazon and Walmart understood the importance of utilizing the best eCommerce website design practice to enable a good customer experience.And in order for your brand to deliver the same customer experience through your eCommerce platform, you need to make sure your site meets certain requirements.So to help you prepare your eCommerce website, we’ve compiled a comprehensive checklist (with 36 items) that have been categorized into the following categories:Site-wideHomepageProduct Listing & Category PagesProduct PagesCart PageCheckout Page(s)"
How can I advertise the fact that I am a Core dna solutions provider?,"As a solutions provider, you can advertise on your website, social media profiles, and in conversations with prospects."
Can I pay my subscription monthly?,"Yes, we offer month to month payment options starting at $1,250/site. For more information visit our pricing section https://www.coredna.com/pricing"
What do I get for my subscription?,"The pricing for your subscription is all-inclusive. Your fixed monthly payment covers all the software, the patches and updates to the software. It also covers future releases and upgrades to functionality. Finally, it covers all the cloud infrastructure including network traffic, servers, security and all monitoring.A non-exhaustive list of things you get with your subscription for free are:- Access to Core dna Content Delivery Network (CDN) across 45 different locations world-wide,- Unlimited volume of traffic to CDN,- Unlimited volume of traffic to Core dna engine,- Unlimited number of requests through Web Application Firewall (WAF),- Protection from DDoS attacks,- Protection from XSS attacks,- Protection against malicious bots,- And more"
Do you charge licensing fee?,"There are no upfront licensing or setup charges. Core dna is a SaaS (Software-as-a-Service) platform, meaning our pricing is included in a monthly subscription fee, this includes all the updates and new features we release each with and with none of the headaches of hosting or maintaining the infrastructure.Core dna has a transparent pricing structure that scales with your business. Our pricing model is designed to charge only for what you use. Our plans adapt to your business growth. We offer 3 different tiers: Core dna CMS - Core dna eCommerce - DXP ( Digital Experience Platform)We also offer a features' comparison table for each tier available here. If you want to know more about our pricing structure and what would fit your business needs, you can schedule a call with one of our specialist.GET IN TOUCH TODAY Schedule a one-to-one consultation with your product specialist. Here’s what you can expect: Walkthrough: An introduction of the Core dna platform Analysis: Personalized recommendations based on your business needs. Case studies: How other businesses have used Core dna to scale more efficiently"
What is a server request?,"A ""Request"" is a call to Core dna engine over the Internet which resolves as a dynamic web page or structured data content. For example, AJAX requests, headless queries, and REST API calls.This excludes calls to static assets that are normally served by the CDN (Content Delivery Network), such as images, fonts, JS files, CSS files, etc."
"If I go over my plan limit, will I be charged overages?",We don’t like charging overages because we understand there is a fluctuation between your traffic month-to-month. We do take a longer term view of your site traffic and will consult with you before we charge any overages. In many cases we establish a yearly traffic volume and bill any variants plus or minus to cover spikes during the year.
Is there a free trial?,"Setting up a website is a detailed process, we don't offer a free trial of the product. We do, however, offer access to a sandbox environment so you can see how Core dna works. Book a sandbox here"
How many sites can I access with my account?,There is no limit to the number of sites that can be managed from your account. Adding a new site to your existing setup is a simple process that generally takes 24hrs.
Is there a setup or onboarding fee?,There is no setup or onboarding fee to use Core dna. We provide all the training material to learn how to use the platform. If your team requires technical training to use the templating and API environment we have team members and partners who can conduct this training.
